Transaction_Date,Hospital_ID,Hospital_Name,Hospital_Type,Hospital_Size,Territory,Product_ID,Product_Name,Product_Category,Units_Sold,Unit_Price,Total_Revenue,Inventory_Level,Stockout_Flag,Market_Index,Promotion_Flag,Year,Month,Quarter,Day_of_Week,Is_Weekend,Day_of_Month,Week_of_Year,Calculated_Revenue,Revenue_Difference,Daily_Units_Sold,Daily_Revenue,Average_Unit_Price,Average_Inventory,Stockout_Rate,Promotion_Rate,Average_Market_Index,Demand_Lag_1,Demand_Lag_2,Demand_Lag_3,Demand_Lag_7,Demand_Lag_14,Demand_Lag_28,Demand_Rolling_Mean_3,Demand_Rolling_Mean_7,Demand_Rolling_Mean_14,Demand_Rolling_Mean_28,Demand_Rolling_Std_3,Demand_Rolling_Std_7,Demand_Rolling_Std_14,Demand_Rolling_Std_28,Demand_Growth_7D,Demand_Growth_28D,Demand_Acceleration,Inventory_Coverage,Inventory_Pressure,Low_Inventory_Flag,High_Inventory_Flag,Stockout_Risk_Signal,Promotion_Lag_1,Promotion_Lag_7,Promotion_Active,Promotion_7D_Frequency,Hospital_Total_Demand,Hospital_Demand_Share,Hospital_Product_Diversity,Product_Total_Demand,Product_Demand_Share,Product_Hospital_Coverage,Demand_CV_28D,Demand_Volatility_Flag
2023-01-01,H003,Hospital_C,Tertiary_Care,Medium,West,P002,Ultrasound_System,Radiology,13,740080.39,9621045.07,45,0,0.5188,0,2023,1,1,6,1,1,52,9621045.07,0.0,13,9621045.07,740080.39,45.0,0.0,0.0,0.5188,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,23651,0.0005496596338421,8,25637,0.000507079611499,10,,0
2023-01-01,H004,Hospital_D,Multi_Specialty,Medium,West,P001,Imaging_System,Radiology,15,1778581.28,26678719.2,57,0,0.5728,0,2023,1,1,6,1,1,52,26678719.2,0.0,15,26678719.2,1778581.28,57.0,0.0,0.0,0.5728,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,22923,0.0006543646119617,8,25178,0.0005957582016045,10,,0
2023-01-01,H004,Hospital_D,Multi_Specialty,Medium,West,P006,Infusion_Pump,Critical_Care,28,61289.24,1716098.72,93,0,0.4781,1,2023,1,1,6,1,1,52,1716098.72,0.0,28,1716098.72,61289.24,93.0,0.0,1.0,0.4781,,,,,,,,,,,,,,,,,,,,0,0,0,,,1,,22923,0.0012214806089953,8,40561,0.0006903182860383,10,,0
2023-01-01,H004,Hospital_D,Multi_Specialty,Medium,West,P008,Endoscopy_System,Gastroenterology,14,1019050.73,14266710.22,43,0,0.53,0,2023,1,1,6,1,1,52,14266710.22,0.0,14,14266710.22,1019050.73,43.0,0.0,0.0,0.53,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,22923,0.0006107403044976,8,26913,0.0005201947014453,10,,0
2023-01-01,H007,Hospital_G,Multi_Specialty,Large,East,P005,Cardiac_Monitor,Cardiology,29,146388.48,4245265.92,75,0,0.5232,0,2023,1,1,6,1,1,52,4245265.92,0.0,29,4245265.92,146388.48,75.0,0.0,0.0,0.5232,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,34129,0.0008497172492601,8,38847,0.0007465183926686,10,,0
2023-01-01,H007,Hospital_G,Multi_Specialty,Large,East,P008,Endoscopy_System,Gastroenterology,16,1152703.3,18443252.8,48,0,0.5382,0,2023,1,1,6,1,1,52,18443252.8,0.0,16,18443252.8,1152703.3,48.0,0.0,0.0,0.5382,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,34129,0.0004688095168331,8,26913,0.0005945082302233,10,,0
2023-01-01,H008,Hospital_H,Specialty_Care,Small,East,P005,Cardiac_Monitor,Cardiology,13,144483.46,1878284.98,22,0,0.5252,0,2023,1,1,6,1,1,52,1878284.98,0.0,13,1878284.98,144483.46,22.0,0.0,0.0,0.5252,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,17171,0.000757090443189,8,38847,0.0003346461760238,10,,0
2023-01-02,H010,Hospital_J,Tertiary_Care,Large,Central,P004,ECG_System,Cardiology,31,84876.39,2631168.09,126,0,0.4948,0,2023,1,1,0,0,2,1,2631168.09,0.0,31,2631168.09,84876.39,126.0,0.0,0.0,0.4948,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,34888,0.0008885576702591,8,38090,0.000813861906012,10,,0
2023-01-02,H007,Hospital_G,Multi_Specialty,Large,East,P004,ECG_System,Cardiology,31,88137.84,2732273.04,85,0,0.5361,0,2023,1,1,0,0,2,1,2732273.04,0.0,31,2732273.04,88137.84,85.0,0.0,0.0,0.5361,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,34129,0.0009083184388643,8,38090,0.000813861906012,10,,0
2023-01-02,H007,Hospital_G,Multi_Specialty,Large,East,P003,Patient_Monitor,Patient_Monitoring,42,125284.48,5261948.16,102,0,0.5019,0,2023,1,1,0,0,2,1,5261948.16,0.0,42,5261948.16,125284.48,102.0,0.0,0.0,0.5019,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,34129,0.0012306249816871,8,44040,0.0009536784741144,10,,0
2023-01-02,H006,Hospital_F,Tertiary_Care,Large,South,P003,Patient_Monitor,Patient_Monitoring,30,124310.23,3729306.9,79,0,0.472,0,2023,1,1,0,0,2,1,3729306.9,0.0,30,3729306.9,124310.23,79.0,0.0,0.0,0.472,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,31985,0.0009379396592152,8,44040,0.0006811989100817,10,,0
2023-01-02,H010,Hospital_J,Tertiary_Care,Large,Central,P005,Cardiac_Monitor,Cardiology,27,142239.9,3840477.3,67,0,0.5325,0,2023,1,1,0,0,2,1,3840477.3,0.0,27,3840477.3,142239.9,67.0,0.0,0.0,0.5325,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,34888,0.000773905067645,8,38847,0.000695034365588,10,,0
2023-01-02,H002,Hospital_B,Multi_Specialty,Large,North,P003,Patient_Monitor,Patient_Monitoring,30,122539.42,3676182.6,57,0,0.4453,0,2023,1,1,0,0,2,1,3676182.6,0.0,30,3676182.6,122539.42,57.0,0.0,0.0,0.4453,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,32516,0.0009226227088202,8,44040,0.0006811989100817,10,,0
2023-01-02,H001,Hospital_A,Tertiary_Care,Large,North,P008,Endoscopy_System,Gastroenterology,22,1133171.58,24929774.76,68,0,0.5193,0,2023,1,1,0,0,2,1,24929774.76,0.0,22,24929774.76,1133171.58,68.0,0.0,0.0,0.5193,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,32877,0.0006691608115095,8,26913,0.000817448816557,10,,0
2023-01-02,H001,Hospital_A,Tertiary_Care,Large,North,P007,Ventilator,Critical_Care,28,318681.9,8923093.2,82,0,0.5608,0,2023,1,1,0,0,2,1,8923093.2,-0.0,28,8923093.2,318681.9,82.0,0.0,0.0,0.5608,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,32877,0.0008516592146485,8,38966,0.0007185751680952,10,,0
2023-01-02,H001,Hospital_A,Tertiary_Care,Large,North,P001,Imaging_System,Radiology,22,1866189.81,41056175.82,38,0,0.5235,0,2023,1,1,0,0,2,1,41056175.82,0.0,22,41056175.82,1866189.81,38.0,0.0,0.0,0.5235,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,32877,0.0006691608115095,8,25178,0.0008737786956867,10,,0
2023-01-02,H002,Hospital_B,Multi_Specialty,Large,North,P005,Cardiac_Monitor,Cardiology,29,147782.36,4285688.44,49,0,0.5646,0,2023,1,1,0,0,2,1,4285688.44,0.0,29,4285688.44,147782.36,49.0,0.0,0.0,0.5646,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,32516,0.0008918686185262,8,38847,0.0007465183926686,10,,0
2023-01-03,H010,Hospital_J,Tertiary_Care,Large,Central,P002,Ultrasound_System,Radiology,21,715673.1,15029135.1,64,0,0.5438,0,2023,1,1,1,0,3,1,15029135.1,0.0,21,15029135.1,715673.1,64.0,0.0,0.0,0.5438,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,34888,0.0006019261637239,8,25637,0.0008191286031907,10,,0
2023-01-03,H010,Hospital_J,Tertiary_Care,Large,Central,P001,Imaging_System,Radiology,21,1846889.99,38784689.79,33,0,0.5962,0,2023,1,1,1,0,3,1,38784689.79,0.0,21,38784689.79,1846889.99,33.0,0.0,0.0,0.5962,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,34888,0.0006019261637239,8,25178,0.0008340614822464,10,,0
2023-01-03,H008,Hospital_H,Specialty_Care,Small,East,P006,Infusion_Pump,Critical_Care,17,64930.4,1103816.8,37,0,0.5124,1,2023,1,1,1,0,3,1,1103816.8,0.0,17,1103816.8,64930.4,37.0,0.0,1.0,0.5124,,,,,,,,,,,,,,,,,,,,0,0,0,,,1,,17171,0.0009900413487857,8,40561,0.0004191218165232,10,,0
2023-01-03,H004,Hospital_D,Multi_Specialty,Medium,West,P007,Ventilator,Critical_Care,21,356796.5,7492726.5,73,0,0.4536,0,2023,1,1,1,0,3,1,7492726.5,0.0,47,16681032.38,355096.44,56.0,0.0,0.0,0.46735,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,22923,0.0020503424508135,8,38966,0.0012061797464456,10,,0
2023-01-03,H004,Hospital_D,Multi_Specialty,Medium,West,P007,Ventilator,Critical_Care,26,353396.38,9188305.88,39,0,0.4811,0,2023,1,1,1,0,3,1,9188305.88,0.0,47,16681032.38,355096.44,56.0,0.0,0.0,0.46735,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,22923,0.0020503424508135,8,38966,0.0012061797464456,10,,0
2023-01-03,H002,Hospital_B,Multi_Specialty,Large,North,P004,ECG_System,Cardiology,25,86915.51,2172887.75,87,0,0.5536,0,2023,1,1,1,0,3,1,2172887.75,0.0,25,2172887.75,86915.51,87.0,0.0,0.0,0.5536,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,32516,0.0007688522573502,8,38090,0.0006563402467839,10,,0
2023-01-03,H001,Hospital_A,Tertiary_Care,Large,North,P006,Infusion_Pump,Critical_Care,29,64447.04,1868964.16,107,0,0.55,0,2023,1,1,1,0,3,1,1868964.16,0.0,29,1868964.16,64447.04,107.0,0.0,0.0,0.55,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,32877,0.0008820756151717,8,40561,0.0007149725105396,10,,0
