Feature,Importance,Importance_Percent,Cumulative_Importance
Demand_Rolling_Mean_28,0.7538155320932799,75.38155320932799,0.7538155320932799
Demand_Growth_7D,0.07754235128486017,7.754235128486017,0.8313578833781401
Demand_Lag_7,0.04337104642555275,4.337104642555275,0.8747289298036929
Inventory_Level,0.04084502652202052,4.084502652202052,0.9155739563257134
Demand_Growth_28D,0.014494260045981108,1.4494260045981109,0.9300682163716945
Average_Inventory,0.010344270085439549,1.0344270085439549,0.940412486457134
Demand_Rolling_Mean_14,0.007689691760220866,0.7689691760220866,0.9481021782173549
Demand_Rolling_Mean_7,0.0061017675652374195,0.6101767565237419,0.9542039457825923
Promotion_Flag,0.005357553281706256,0.5357553281706255,0.9595614990642986
Demand_CV_28D,0.004449823650094268,0.4449823650094268,0.9640113227143928
Demand_Lag_28,0.004292509694954814,0.4292509694954814,0.9683038324093476
Demand_Lag_2,0.0029156866837892806,0.2915686683789281,0.9712195190931369
Hospital_Size_Medium,0.0027166959856249383,0.27166959856249384,0.9739362150787618
Product_Category_Patient_Monitoring,0.0017625251468274354,0.17625251468274356,0.9756987402255892
Demand_Lag_1,0.0016793204300767951,0.1679320430076795,0.977378060655666
Hospital_Size_Large,0.0016227187414646653,0.16227187414646652,0.9790007793971307
Demand_Rolling_Std_28,0.0015564348378744488,0.1556434837874449,0.9805572142350052
Demand_Rolling_Mean_3,0.0015375993753282628,0.15375993753282627,0.9820948136103335
Month,0.0015090975997753937,0.15090975997753936,0.9836039112101088
Promotion_Rate,0.0014174112295047782,0.1417411229504778,0.9850213224396136
Average_Unit_Price,0.0012463930285170387,0.12463930285170387,0.9862677154681306
Demand_Lag_3,0.001196992779765505,0.1196992779765505,0.9874647082478961
Product_Category_Cardiology,0.0011535501797607934,0.11535501797607935,0.9886182584276569
Unit_Price,0.0010836371011740105,0.10836371011740105,0.9897018955288309
Week_of_Year,0.001064833616635484,0.10648336166354841,0.9907667291454664
Inventory_Coverage,0.0008369549550294966,0.08369549550294966,0.9916036841004958
Market_Index,0.0008215386501632283,0.08215386501632282,0.992425222750659
Product_Category_Radiology,0.0007832973631080097,0.07832973631080097,0.993208520113767
Hospital_Size_Small,0.0006949671616408117,0.06949671616408118,0.9939034872754079
Inventory_Pressure,0.0006886925431649198,0.06886925431649198,0.9945921798185728
Demand_Acceleration,0.0006668142220740025,0.06668142220740025,0.9952589940406469
Demand_Rolling_Std_14,0.0005361362951697896,0.05361362951697896,0.9957951303358167
Low_Inventory_Flag,0.00045524421901768425,0.045524421901768426,0.9962503745548343
Year,0.0004421132190147883,0.04421132190147883,0.9966924877738491
Average_Market_Index,0.00041315570201092553,0.041315570201092555,0.9971056434758601
Stockout_Risk_Signal,0.00041008758954266583,0.04100875895426658,0.9975157310654027
Territory_East,0.00040898838340286273,0.04089883834028627,0.9979247194488056
Demand_Rolling_Std_7,0.00032505502302171527,0.03250550230217153,0.9982497744718273
Demand_Lag_14,0.00029979078173373826,0.029979078173373825,0.998549565253561
Day_of_Month,0.00022345160535548807,0.022345160535548806,0.9987730168589165
Quarter,0.00021653938560562457,0.02165393856056246,0.9989895562445221
Day_of_Week,0.0001623987869290045,0.01623987869290045,0.9991519550314512
Demand_Rolling_Std_3,0.00014686639800356747,0.014686639800356747,0.9992988214294547
Promotion_Lag_7,0.00014377349630894577,0.014377349630894577,0.9994425949257636
Territory_West,0.00013275104289409864,0.013275104289409864,0.9995753459686577
Promotion_Active,0.00010557356227853646,0.010557356227853646,0.9996809195309363
Hospital_Type_Tertiary_Care,5.954172153379908e-05,0.005954172153379908,0.9997404612524701
Promotion_7D_Frequency,5.198564934793308e-05,0.005198564934793308,0.999792446901818
Promotion_Lag_1,3.390296911702359e-05,0.003390296911702359,0.999826349870935
Territory_North,3.35806196528327e-05,0.0033580619652832703,0.9998599304905879
Territory_South,3.3196988947731085e-05,0.0033196988947731083,0.9998931274795356
Product_Category_Gastroenterology,2.9817565749921807e-05,0.002981756574992181,0.9999229450452856
Product_Category_Critical_Care,2.7039797413409016e-05,0.0027039797413409014,0.9999499848426989
Stockout_Rate,2.1900597341169394e-05,0.0021900597341169394,0.9999718854400401
Territory_Central,1.2597070387037371e-05,0.0012597070387037371,0.9999844825104272
Is_Weekend,7.228582016978669e-06,0.0007228582016978669,0.9999917110924441
Hospital_Type_Specialty_Care,4.665099586027236e-06,0.0004665099586027236,0.9999963761920302
Hospital_Type_Multi_Specialty,3.6238079695783934e-06,0.00036238079695783933,0.9999999999999998
Stockout_Flag,0.0,0.0,0.9999999999999998
Demand_Volatility_Flag,0.0,0.0,0.9999999999999998
High_Inventory_Flag,0.0,0.0,0.9999999999999998
