n_estimators,learning_rate,max_depth,min_samples_leaf,MAE,RMSE,R2,MAPE_Percent
300,0.03,7,3,1.0130870380073334,1.5984221406111039,0.9702869099578003,3.6731015571027674
300,0.05,5,5,1.1226961543487628,1.6414564582061253,0.9686654415043832,4.056336248521663
300,0.05,5,2,1.120135782895579,1.6467866229020316,0.9684616109013695,4.05601256963595
400,0.03,5,5,1.1640961511937091,1.670337507551303,0.9675530923603408,4.200791176720685
400,0.03,5,2,1.169083532123238,1.6849054181783303,0.9669846504586515,4.2128044493527135
200,0.05,5,2,1.195205458581829,1.7110967900824792,0.9659502443961065,4.321949411902624
200,0.05,5,5,1.2022961305979145,1.7133714302924923,0.9658596563905071,4.331157221660854
300,0.05,3,2,1.4760314315654044,1.9562480337666797,0.9554946026679856,5.322969884916868
200,0.05,3,2,1.6262586739268838,2.118928717305761,0.9477847286002961,5.831804080748099
300,0.03,3,2,1.6734110029829459,2.173700930656859,0.9450504135189566,5.979984145445242
200,0.03,3,2,1.8244960000019188,2.3590827050162106,0.9352781117436738,6.4566193300383485
100,0.05,3,2,1.9190415044693874,2.484273640505447,0.9282265688235022,6.735028918066746
